"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-03-03",6.359278,12.3025,22.838366,48.597889,19.917625,57.230705,31.437717,21.478203,20.025789,9.682289,2.27,1118.790039
"2010-03-04",6.438018,12.2875,22.974791,48.728188,20.005835,57.876499,31.550179,21.815519,20.15781,9.998044,2.275,1122.969971
"2010-03-05",6.535508,12.4325,22.942692,49.088448,20.214312,59.060448,31.568922,22.380312,20.946098,10.160957,2.343,1138.699951
"2010-03-08",6.584254,12.4775,22.974791,49.211098,20.952002,58.903893,31.471445,22.521513,20.958532,10.153635,2.355,1138.5
"2010-03-09",6.565506,12.515,23.111204,49.264759,20.952002,59.569256,31.677641,22.607809,21.335455,10.230514,2.338,1140.449951
"2010-03-10",6.573004,12.625,23.247629,49.280102,20.743526,60.381382,31.332752,23.243214,21.509565,10.029163,2.378,1145.609985
"2010-03-11",6.588002,12.5625,23.416149,49.226437,20.823706,61.350071,31.520184,23.862926,21.57271,10.133502,2.41,1150.23999
"2010-03-12",6.531759,12.605,23.488371,49.195782,20.751539,61.398994,31.54644,24.082575,21.677944,10.138993,2.417,1149.98999
"2010-03-15",6.573004,12.6725,23.504421,49.494728,20.911911,62.719925,31.62891,24.145323,21.4139,10.076756,2.405,1150.51001
"2010-03-16",6.558006,12.665,23.568624,49.46405,20.968039,64.265907,31.722622,24.780735,21.472258,10.170108,2.348,1159.459961
"2010-03-17",6.591754,12.815,23.777262,49.556049,21.05624,64.764915,31.726366,25.227863,21.440695,10.334848,2.366,1166.209961
"2010-03-18",6.625497,12.77,23.761213,49.870312,21.120392,63.747314,31.778852,25.031752,21.491394,10.501426,2.414,1165.829956
"2010-03-19",6.573004,12.67,23.745163,49.908638,20.968039,62.690571,31.805098,24.984688,21.261791,10.538033,2.451,1159.900024
"2010-03-22",6.666745,12.8175,23.753189,49.90099,21.072277,62.896042,31.846333,25.102352,21.500961,10.554507,2.414,1165.810059
"2010-03-23",6.782981,12.75,23.977882,50.100285,21.360933,63.189583,31.992533,25.180799,21.846313,10.618576,2.412,1174.170044
"2010-03-24",6.816727,12.6775,23.793312,49.63269,21.208593,62.915615,31.617657,25.196493,21.942932,10.538033,2.57,1167.719971
"2010-03-25",6.914215,12.5725,24.082207,49.494728,21.192549,63.189583,31.269016,25.329847,21.682722,10.514238,2.661,1165.72998
"2010-03-26",6.876719,12.6025,23.801336,49.349083,21.224625,62.739494,31.655142,25.298466,22.089304,10.486778,2.604,1166.589966
"2010-03-29",6.936714,12.6325,23.745163,49.686348,21.256699,63.003677,31.857584,25.259243,22.231852,10.75952,2.599,1173.219971
"2010-03-30",7.026702,12.6875,23.889605,49.747677,21.368954,62.622082,32.037533,25.078825,22.562851,10.873011,2.604,1173.27002
"2010-03-31",7.06045,12.69,23.504421,49.977623,20.871819,62.612289,31.962555,25.408289,22.481535,10.882161,2.56,1169.430054
"2010-04-01",7.071696,12.7825,23.400095,50.414551,20.711454,62.905827,32.168736,25.471046,22.574331,10.982839,2.581,1178.099976
"2010-04-05",7.128132,12.85,23.488371,50.130924,20.984076,63.590759,32.097504,25.824043,22.815414,11.012128,2.741,1187.439941
"2010-04-06",7.105406,12.8675,23.528498,50.061951,21.024164,64.54966,31.838831,26.302555,22.915867,10.971858,2.713,1189.439941
"2010-04-07",6.927394,12.7925,23.552565,49.992962,21.120392,64.334396,31.906319,26.176491,23.017267,10.858366,2.611,1182.449951
"2010-04-08",6.980419,12.815,24.009983,49.770672,21.072277,63.414639,31.700125,26.538956,22.95509,10.874843,2.636,1186.439941
"2010-04-09",7.006932,12.94,24.347019,49.931641,21.328867,63.561409,31.591423,26.672907,23.131105,10.957214,2.638,1194.369995
